Sprint #,Application_Name,Team_Name,AI Usage Testing Phase (Test Planning),AI Usage Testing Phase (Test Design),AI Usage Testing Phase (Automation Development),AI Usage Testing Phase (Test Execution),AI Usage Testing Phase (Regression Testing),AI Usage Testing Phase (Defect Management),Complexity,User story count,test case count,Baseline effort (Test Planning),Baseline effort (Test Design),Baseline effort (Automation Development),Baseline effort (Test Execution),Baseline effort (Regression Testing),Baseline effort (Defect Management),Actual effort (Test Planning),Actual effort (Test Design),Actual effort (Automation Development),Actual effort (Test Execution),Actual effort (Regression Testing),Actual effort (Defect Management),Year,Sprint_Number,AI_Test Planning,AI_Test Design,AI_Automation Development,AI_Test Execution,AI_Regression Testing,AI_Defect Management,AI_Phase_Count,AI_Adoption_Rate,Total_Baseline_Effort,Total_Actual_Effort,Total_Effort_Saved,Overall_Productivity_Improvement_Pct,Story_to_Test_Ratio
2023-S02,API Integration Platform,API & Middleware QA,No,No,No,No,No,No,Medium,10.0,53.0,9.2,19.16,23.56,7.38,16.85,12.0,11.1417,20.62,24.0,7.98,17.433,13.7,2023,2,0,0,0,0,0,0,0,0.0,88.15,94.8747,-6.724699999999999,-7.62870107770845,4.818181818181818
2023-S03,Customer Web Portal,EIP-QA,No,No,No,No,No,No,High,5.0,49.0,9.0,27.72,37.2,9.56,18.91,11.0,8.62,26.2712,43.5,15.38,22.14,11.42,2023,3,0,0,0,0,0,0,0,0.0,113.39,127.3312,-13.941199999999995,-12.294911367845485,8.166666666666666
2023-S03,Billing & Payments,Billing & Payments QA,No,No,No,No,No,No,Medium,12.0,66.0,15.61,39.9,41.8,14.19,26.68,29.1537,14.04,34.35,42.17,11.54,24.76,35.13,2023,3,0,0,0,0,0,0,0,0.0,167.33370000000002,161.99,5.3437000000000126,3.193439217563475,5.076923076923077
2023-S03,Mobile Service App,Mobile & Web QE,No,No,Yes,No,No,No,Low,9.0,23.0,9.0,9.0232,15.0,3.81,6.59,6.9,9.33,7.86,13.28,3.67,6.4,8.0,2023,3,0,0,1,0,0,0,1,0.16666666666666666,50.32320000000001,48.54,1.783200000000008,3.543494849294178,2.3
2023-S03,ERP Operations,ERP Operations QA,No,No,No,No,No,No,Medium,7.0,65.0,10.0,28.76,24.0,10.0,26.3,18.25,9.5,26.24,28.42,8.61,24.1,18.0,2023,3,0,0,0,0,0,0,0,0.0,117.31,114.87,2.4399999999999977,2.0799590827721404,8.125
2023-S03,API Integration Platform,API & Middleware QA,No,No,No,No,No,No,Medium,10.0,64.0,10.8,27.56,34.83,10.37,25.19,12.72,12.0,29.5,35.7,11.79,27.0,14.49,2023,3,0,0,0,0,0,0,0,0.0,121.47,130.48000000000002,-9.01000000000002,-7.417469333991948,5.818181818181818
2023-S03,CRM Sales & Service,CRM Platform QA,No,No,No,No,No,No,Low,8.0,38.0,9.31,17.1,21.84,6.0,11.87,8.0,9.71,20.6,22.61,6.79,12.4,7.9,2023,3,0,0,0,0,0,0,0,0.0,74.12,80.01,-5.890000000000001,-7.946573124662709,4.222222222222222
2023-S04,CRM Sales & Service,CRM Platform QA,No,No,No,No,No,No,Medium,14.0,64.0,15.02,28.2,36.09,9.8,24.73,17.49,20.07,28.2234,35.1,10.5,28.0,17.93,2023,4,0,0,0,0,0,0,0,0.0,131.33,139.82340000000002,-8.493400000000008,-6.4672199802025485,4.266666666666667
2023-S04,Billing & Payments,Billing & Payments QA,No,No,No,No,No,No,High,7.0,96.0,10.5,51.65,49.88,18.28,29.7,28.1442,9.29,53.79,71.08,16.6,29.76,29.99,2023,4,0,0,0,0,0,0,0,0.0,188.1542,210.51,-22.355799999999988,-11.88163750795889,12.0
2023-S04,Mobile Service App,Mobile & Web QE,No,No,No,No,No,No,Low,10.0,57.0,7.96,21.0,37.01,8.05,13.22,8.87,7.07,24.38,43.55,8.33,11.62,8.77,2023,4,0,0,0,0,0,0,0,0.0,96.11,103.72,-7.609999999999999,-7.9180106128394545,5.181818181818182
2023-S04,Customer Web Portal,EIP-QA,No,No,No,No,No,No,Low,10.0,80.0,8.95,28.8,31.92,11.24,14.9,22.18,8.68,30.38,32.38,11.04,17.69,21.6,2023,4,0,0,0,0,0,0,0,0.0,117.99000000000001,121.76999999999998,-3.7799999999999727,-3.2036613272310976,7.2727272727272725
2023-S04,ERP Operations,ERP Operations QA,No,No,No,No,No,No,Medium,9.0,53.0,9.9,22.48,39.9,9.07,18.88,14.48,6.87,22.0,37.2,8.73,21.18,15.49,2023,4,0,0,0,0,0,0,0,0.0,114.71,111.47000000000001,3.2399999999999807,2.8245139918054054,5.3
2023-S04,API Integration Platform,API & Middleware QA,No,No,No,No,No,No,Medium,12.0,105.0,12.97,44.0,27.1897,15.84,23.02,26.84,13.2,49.26,26.0,15.7,25.04,32.5262,2023,4,0,0,0,0,0,0,0,0.0,149.8597,161.7262,-11.866500000000002,-7.918406349405478,8.076923076923077
2023-S05,CRM Sales & Service,CRM Platform QA,No,No,Yes,No,No,No,High,7.0,81.0,9.0,42.8,51.9,15.0,25.1,22.05,,42.25,38.54,18.62,23.73,19.67,2023,5,0,0,1,0,0,0,1,0.16666666666666666,165.85,,,,10.125
2023-S05,Customer Web Portal,EIP-QA,No,No,No,No,No,No,Medium,11.0,59.0,12.66,24.64,26.07,9.5,26.43,10.05,11.09,23.7577,24.06,8.83,27.2,11.26,2023,5,0,0,0,0,0,0,0,0.0,109.35000000000001,106.19770000000001,3.1522999999999968,2.8827617741197957,4.916666666666667
2023-S05,Legacy Service Platform,Legacy Support QA,No,No,No,No,No,No,Medium,6.0,64.0,7.74,27.0899,30.32,10.11,20.68,19.3,8.48,30.0,26.9,10.88,22.56,18.0,2023,5,0,0,0,0,0,0,0,0.0,115.23989999999999,116.82,-1.5801000000000016,-1.3711396833909104,9.142857142857142
2023-S05,API Integration Platform,API & Middleware QA,No,No,No,No,No,No,High,11.0,124.0,15.0,64.94,68.73,23.74,53.46,30.6,14.12,68.1329,63.0,24.6,55.6,25.58,2023,5,0,0,0,0,0,0,0,0.0,256.47,251.03289999999998,5.437100000000044,2.119975045814342,10.333333333333334
2023-S05,Billing & Payments,Billing & Payments QA,No,No,No,No,No,No,Medium,7.0,67.0,9.04,28.16,45.95,10.7,19.4596,15.86,8.16,28.07,51.58,12.11,20.15,14.13,2023,5,0,0,0,0,0,0,0,0.0,129.1696,134.2,-5.030399999999986,-3.8944147849029385,8.375
2023-S05,ERP Operations,ERP Operations QA,No,No,No,No,No,No,Medium,8.0,70.0,10.11,28.94,29.9316,11.03,26.6,19.99,11.44,27.8147,25.63,11.7,24.3,22.41,2023,5,0,0,0,0,0,0,0,0.0,126.6016,123.29469999999999,3.306900000000013,2.6120522963374975,7.777777777777778
2023-S06,API Integration Platform,API & Middleware QA,No,No,No,No,No,No,Medium,11.0,65.0,11.53,27.2171,31.1,10.0,22.18,12.01,12.0,30.02,33.0,10.61,25.28,13.08,2023,6,0,0,0,0,0,0,0,0.0,114.0371,123.99,-9.9529,-8.72777368067059,5.416666666666667
2023-S06,Billing & Payments,Billing & Payments QA,No,No,No,No,No,No,Medium,11.0,61.0,11.18,26.0,32.0431,9.76,12.08,16.1,21.43,26.57,35.4,10.77,10.68,19.0,2023,6,0,0,0,0,0,0,0,0.0,107.16310000000001,123.85,-16.68689999999998,-15.571498024973126,5.083333333333333
2023-S06,CRM Sales & Service,CRM Platform QA,No,No,No,No,No,No,Medium,2.0,38.0,4.49,17.18,24.24,6.0,11.2,11.04,4.8,14.8,25.46,6.94,13.15,10.4,2023,6,0,0,0,0,0,0,0,0.0,74.15,75.55000000000001,-1.4000000000000057,-1.8880647336480185,12.666666666666666
2023-S06,Legacy Service Platform,Legacy Support QA,No,No,No,No,No,No,Medium,5.0,20.0,7.0,9.43,17.41,3.79,7.97,4.82,7.63,9.85,17.0,4.04,8.75,5.6,2023,6,0,0,0,0,0,0,0,0.0,50.42,52.870000000000005,-2.450000000000003,-4.859182863942886,3.3333333333333335
2023-S06,Customer Web Portal,EIP-QA,No,Yes,No,No,No,No,Medium,15.0,58.0,16.0,24.57,42.56,9.15,13.0,12.4,17.0,20.0,46.33,10.32,13.1,14.1,2023,6,0,1,0,0,0,0,1,0.16666666666666666,117.68,120.85,-3.1699999999999875,-2.693745751189656,3.625
2023-S06,Mobile Service App,Mobile & Web QE,No,No,No,No,No,No,Medium,11.0,65.0,13.25,27.38,22.7,10.0,13.8,10.3,13.99,24.73,25.6,10.2,13.32,9.8,2023,6,0,0,0,0,0,0,0,0.0,97.42999999999999,97.64,-0.21000000000000796,-0.2155393615929467,5.416666666666667
2023-S07,Billing & Payments,Billing & Payments QA,No,No,No,No,No,No,Medium,12.0,75.0,10.0,27.55,34.0,10.2,15.1,7.79,11.77,28.2905,41.0,9.42,16.0,9.98,2023,7,0,0,0,0,0,0,0,0.0,104.64,116.46050000000001,-11.82050000000001,-11.296349388379214,5.769230769230769
2023-S07,CRM Sales & Service,CRM Platform QA,No,No,No,No,No,No,Medium,11.0,67.0,10.63,25.55,33.98,9.39,15.41,8.19,10.21,28.0,33.15,10.58,18.8,18.5,2023,7,0,0,0,0,0,0,0,0.0,103.14999999999999,119.24,-16.090000000000003,-15.598642753271937,5.583333333333333
2023-S07,API Integration Platform,API & Middleware QA,No,No,No,No,No,No,High,5.0,59.0,7.5,31.96,45.6,11.4,20.8751,21.25,8.05,36.71,47.0,13.1,22.24,21.7,2023,7,0,0,0,0,0,0,0,0.0,138.5851,148.79999999999998,-10.214899999999972,-7.370850113035218,9.833333333333334
2023-S07,Mobile Service App,Mobile & Web QE,No,No,No,No,No,No,Low,8.0,49.0,9.4,19.1,13.97,6.84,9.76,7.44,9.42,19.99,14.6,6.57,11.37,7.4,2023,7,0,0,0,0,0,0,0,0.0,66.51,69.35,-2.839999999999989,-4.270034581265959,5.444444444444445
2023-S07,Customer Web Portal,EIP-QA,No,Yes,No,No,No,No,Medium,5.0,67.0,6.9,28.53,44.0,10.44,22.2,17.33,5.8,52.0,43.9,11.46,22.36,18.7,2023,7,0,1,0,0,0,0,1,0.16666666666666666,129.4,154.21999999999997,-24.819999999999965,-19.180834621329186,11.166666666666666
2023-S08,Enterprise Data Platform,Data Platform QA,No,No,No,No,No,No,High,9.0,36.0,13.2459,20.25,24.8,7.57,14.46,12.56,13.98,24.34,29.4,13.17,15.02,13.36,2023,8,0,0,0,0,0,0,0,0.0,92.88590000000002,109.27,-16.384099999999975,-17.63895273663707,3.6
2023-S08,Customer Web Portal,EIP-QA,Yes,Yes,No,No,No,No,Low,15.0,154.0,13.68,54.9,62.15,19.0,28.28,30.97,13.1,45.92,55.28,18.05,28.0,34.5,2023,8,1,1,0,0,0,0,2,0.3333333333333333,208.98,194.85000000000002,14.129999999999967,6.761412575366048,9.625
2023-S08,Billing & Payments,Billing & Payments QA,No,No,No,No,No,No,Medium,9.0,50.0,10.06,21.1,36.2761,8.19,22.07,16.0,10.0,23.83,37.0,10.1,22.3,16.8,2023,8,0,0,0,0,0,0,0,0.0,113.6961,120.02999999999999,-6.333899999999986,-5.570903487454702,5.0
2023-S08,Legacy Service Platform,Legacy Support QA,No,No,No,No,No,No,Medium,7.0,51.0,9.7,21.6,26.88,8.53,19.82,15.85,12.15,20.0,26.95,7.67,20.92,16.5406,2023,8,0,0,0,0,0,0,0,0.0,102.38,104.2306,-1.8506,-1.8075796053916782,6.375
2023-S08,Mobile Service App,Mobile & Web QE,No,No,Yes,No,No,No,Medium,10.0,57.0,11.3,25.0,29.0,9.07,23.2,10.89,21.01,27.2,25.47,10.67,22.94,11.45,2023,8,0,0,1,0,0,0,1,0.16666666666666666,108.46000000000001,118.74000000000001,-10.280000000000001,-9.478148626221648,5.181818181818182
2023-S09,Legacy Service Platform,Legacy Support QA,No,No,No,No,No,No,Low,7.0,33.0,7.9383,12.7217,,5.0,8.5,5.52,7.87,10.98,15.44,4.97,8.92,5.89,2023,9,0,0,0,0,0,0,0,0.0,,54.07,,,4.125
2023-S09,API Integration Platform,API & Middleware QA,No,No,No,No,No,No,High,6.0,29.0,6.51,10.9,17.89,4.0,8.1,9.52,6.3,11.0,16.1,4.62,7.79,9.0,2023,9,0,0,0,0,0,0,0,0.0,56.92,54.81,2.1099999999999994,3.7069571328179887,4.142857142857143
2023-S09,Enterprise Data Platform,Data Platform QA,No,No,No,No,No,No,Medium,11.0,81.0,12.33,34.08,59.05,13.0,27.25,26.6377,8.8022,31.56,66.05,13.24,,25.43,2023,9,0,0,0,0,0,0,0,0.0,172.34769999999997,,,,6.75
2023-S09,Mobile Service App,Mobile & Web QE,No,No,No,No,No,No,Medium,8.0,68.0,8.94,29.67,30.0,10.2,17.54,15.35,8.85,30.63,34.23,10.14,16.85,15.6,2023,9,0,0,0,0,0,0,0,0.0,111.69999999999999,116.29999999999998,-4.599999999999994,-4.1181736794986525,7.555555555555555
2023-S09,Customer Web Portal,EIP-QA,No,Yes,No,No,No,No,Medium,11.0,59.0,12.17,26.42,33.41,9.1829,17.55,7.15,20.4,18.96,33.69,8.9543,21.72,7.43,2023,9,0,1,0,0,0,0,1,0.16666666666666666,105.8829,111.1543,-5.2714,-4.978518722097713,4.916666666666667
2023-S09,Billing & Payments,Billing & Payments QA,No,No,No,No,No,No,Medium,11.0,69.0,10.0,26.03,33.78,8.91,20.44,15.3,10.15,30.05,38.98,9.76,22.59,16.0,2023,9,0,0,0,0,0,0,0,0.0,114.46,127.53000000000002,-13.070000000000022,-11.41883627468113,5.75
2023-S10,CRM Sales & Service,CRM Platform QA,No,No,No,No,No,No,High,8.0,60.0,11.4,32.45,21.47,11.98,18.68,12.92,11.4,34.15,25.8,11.5,17.53,11.8,2023,10,0,0,0,0,0,0,0,0.0,108.89999999999999,112.17999999999999,-3.280000000000001,-3.011937557392104,6.666666666666667
2023-S10,Billing & Payments,Billing & Payments QA,No,No,No,No,No,No,High,13.0,67.0,17.06,37.0,46.4972,13.52,32.56,18.83,21.0,38.81,44.13,14.0,28.0,20.66,2023,10,0,0,0,0,0,0,0,0.0,165.4672,166.6,-1.1328000000000031,-0.6846069795101405,4.785714285714286
2023-S10,Customer Web Portal,EIP-QA,No,Yes,No,No,No,No,High,14.0,89.0,18.2,48.9,50.83,16.58,20.16,14.56,20.94,31.98,48.92,18.4,18.42,13.62,2023,10,0,1,0,0,0,0,1,0.16666666666666666,169.23,152.28000000000003,16.94999999999996,10.015954617975513,5.933333333333334
2023-S10,API Integration Platform,API & Middleware QA,No,No,No,No,No,No,Medium,10.0,74.0,11.8044,30.77,41.42,,15.5,19.91,9.9,29.72,82.42,11.93,16.0,21.42,2023,10,0,0,0,0,0,0,0,0.0,,171.39,,,6.7272727272727275
2023-S10,Mobile Service App,Mobile & Web QE,No,Yes,No,No,No,No,Medium,14.0,63.0,12.11,22.84,25.01,8.38,12.21,16.0,13.0,20.1,21.8,7.43,12.57,18.6,2023,10,0,1,0,0,0,0,1,0.16666666666666666,96.55000000000001,93.5,3.0500000000000114,3.158984981874688,4.2
2023-S11,Customer Web Portal,EIP-QA,No,Yes,No,No,No,No,Medium,6.0,70.0,7.53,30.61,51.4,11.4,27.7703,16.89,7.8,26.77,48.55,12.4,32.0,16.68,2023,11,0,1,0,0,0,0,1,0.16666666666666666,145.6003,144.20000000000002,1.4002999999999872,0.9617425238821536,10.0
2023-S11,API Integration Platform,API & Middleware QA,No,No,No,No,No,No,High,7.0,34.0,11.0,18.4639,16.1,7.48,20.1,9.9,9.97,20.0,20.4,7.71,17.85,8.9,2023,11,0,0,0,0,0,0,0,0.0,83.04390000000001,84.83000000000001,-1.7861000000000047,-2.1507901242595837,4.25
2023-S11,Billing & Payments,Billing & Payments QA,No,No,No,No,No,No,Medium,11.0,38.0,12.1876,16.42,26.43,6.9,9.6,8.8,11.99,17.5,27.96,6.8,8.0,10.14,2023,11,0,0,0,0,0,0,0,0.0,80.3376,82.39,-2.0524000000000058,-2.554719085459369,3.1666666666666665
2023-S11,Mobile Service App,Mobile & Web QE,No,Yes,No,No,No,No,Low,11.0,85.0,11.3,30.3,46.64,11.12,27.0,10.2,7.86,31.42,52.0,10.0,30.0,11.73,2023,11,0,1,0,0,0,0,1,0.16666666666666666,136.56,143.01,-6.449999999999989,-4.723198594024596,7.083333333333333
2023-S11,CRM Sales & Service,CRM Platform QA,No,No,No,No,No,No,High,10.0,75.0,14.0,40.07,53.8,14.91,18.2,15.0,16.85,29.06,51.3,13.56,19.0,16.1,2023,11,0,0,0,0,0,0,0,0.0,155.98,145.86999999999998,10.110000000000014,6.481600205154517,6.818181818181818
2023-S12,Mobile Service App,Mobile & Web QE,No,Yes,No,No,No,No,Low,13.0,96.0,12.7,34.81,35.6,12.78,15.96,20.0,13.3,25.27,37.85,11.64,17.23,17.99,2023,12,0,1,0,0,0,0,1,0.16666666666666666,131.85000000000002,123.28,8.570000000000022,6.499810390595388,6.857142857142857
2023-S12,Customer Web Portal,EIP-QA,No,Yes,No,No,No,No,Low,13.0,66.0,12.2,24.4,29.0,8.93,23.35,9.3,15.75,17.0,28.29,10.9,23.52,8.65,2023,12,0,1,0,0,0,0,1,0.16666666666666666,107.17999999999999,104.11,3.069999999999993,2.864340362007831,4.714285714285714
2023-S12,API Integration Platform,API & Middleware QA,No,No,No,No,No,No,Low,8.0,47.0,10.85,25.2,32.81,9.2,24.4,17.0,9.24,26.43,33.95,11.4,25.94,14.0,2023,12,0,0,0,0,0,0,0,0.0,119.46000000000001,120.96000000000001,-1.5,-1.255650426921145,5.222222222222222
2023-S12,Billing & Payments,Billing & Payments QA,No,No,No,No,No,No,High,15.0,56.0,19.7,30.4,43.4,11.2,23.94,19.03,21.51,32.53,43.0,11.9,27.3,18.45,2023,12,0,0,0,0,0,0,0,0.0,147.67000000000002,154.69,-7.019999999999982,-4.753843028374064,3.5
2023-S12,CRM Sales & Service,CRM Platform QA,No,No,No,No,No,No,Medium,10.0,51.0,11.0,21.87,25.02,8.37,13.32,17.0,10.87,23.3,25.0,7.16,14.3386,28.5,2023,12,0,0,0,0,0,0,0,0.0,96.58000000000001,109.1686,-12.588599999999985,-13.034375647131894,4.636363636363637
2023-S12,ERP Operations,ERP Operations QA,No,No,No,No,No,No,Medium,7.0,21.0,9.33,9.96,13.0,4.0144,8.93,6.62,10.0,11.18,13.91,4.14,8.12,7.76,2023,12,0,0,0,0,0,0,0,0.0,51.8544,55.11,-3.255600000000001,-6.278348606868465,2.625
2023-S13,Billing & Payments,Billing & Payments QA,No,No,No,No,No,No,Medium,9.0,63.0,9.9,27.38,43.86,10.33,15.49,22.48,16.52,27.71,41.76,12.04,14.26,23.92,2023,13,0,0,0,0,0,0,0,0.0,129.44,136.21,-6.77000000000001,-5.230222496909773,6.3
2023-S13,CRM Sales & Service,CRM Platform QA,No,No,No,Yes,No,No,High,3.0,89.0,6.01,49.58,62.56,16.46,22.69,16.97,6.4,50.16,79.12,17.52,23.71,10.98,2023,13,0,0,0,1,0,0,1,0.16666666666666666,174.27,187.89000000000001,-13.620000000000005,-7.815458770872786,22.25
2023-S13,Mobile Service App,Mobile & Web QE,No,Yes,No,No,No,No,Medium,16.0,57.0,14.65,20.8,28.34,8.0,11.33,11.8154,15.28,16.3,33.08,7.99,11.8,10.06,2023,13,0,1,0,0,0,0,1,0.16666666666666666,94.9354,94.50999999999999,0.42540000000001044,0.4480941777250746,3.3529411764705883
2023-S13,API Integration Platform,API & Middleware QA,No,No,No,No,No,No,Medium,7.0,106.0,10.39,56.39,83.98,21.052,50.94,35.77,10.4,65.03,93.6064,18.29,53.72,39.62,2023,13,0,0,0,0,0,0,0,0.0,258.522,280.6664,-22.14440000000002,-8.565770031177237,13.25
2023-S13,Customer Web Portal,EIP-QA,No,Yes,No,Yes,No,No,High,6.0,69.0,9.34,38.52,28.0,12.54,30.27,13.0,8.98,28.81,26.4,11.4,28.02,14.0,2023,13,0,1,0,1,0,0,2,0.3333333333333333,131.67000000000002,117.61,14.060000000000016,10.67821067821069,9.857142857142858
2023-S14,Mobile Service App,Mobile & Web QE,No,Yes,No,No,No,No,Medium,9.0,48.0,9.2,17.8,19.99,6.9,11.9,5.9,9.76,14.0759,22.18,7.0,11.7954,6.33,2023,14,0,1,0,0,0,0,1,0.16666666666666666,71.69,71.1413,0.5486999999999966,0.7653787139070953,4.8
2023-S14,Billing & Payments,Billing & Payments QA,No,No,No,No,No,No,Low,14.0,98.0,12.8666,35.61,40.3,13.45,27.56,30.37,13.75,34.75,38.0,13.07,26.51,31.49,2023,14,0,0,0,0,0,0,0,0.0,160.1566,157.57,2.5866000000000042,1.61504427541544,6.533333333333333
2023-S14,API Integration Platform,API & Middleware QA,No,No,No,No,No,No,Medium,9.0,121.0,10.28,51.01,47.4,17.99,30.25,29.16,10.61,47.98,49.24,19.94,28.17,31.13,2023,14,0,0,0,0,0,0,0,0.0,186.09,187.07,-0.9799999999999898,-0.5266269009618947,12.1
2023-S14,CRM Sales & Service,CRM Platform QA,No,No,No,Yes,No,No,Medium,9.0,51.0,11.18,21.56,29.4,8.22,12.0,15.1,12.0,20.72,27.9,7.8,13.17,16.11,2023,14,0,0,0,1,0,0,1,0.16666666666666666,97.46,97.7,-0.2400000000000091,-0.24625487379438654,5.1
2023-S14,Customer Web Portal,EIP-QA,No,Yes,No,No,No,Yes,Low,14.0,30.0,12.9,11.351,11.42,4.49,11.0,7.22,14.74,7.8,12.3,4.7,11.0,5.89,2023,14,0,1,0,0,0,1,2,0.3333333333333333,58.381,56.43000000000001,1.9509999999999934,3.341840667340391,2.0
2023-S15,Billing & Payments,Billing & Payments QA,No,No,No,No,No,No,Medium,7.0,65.0,9.56,28.93,35.75,10.97,17.5,10.22,8.05,29.01,32.8,9.24,19.2,9.79,2023,15,0,0,0,0,0,0,0,0.0,112.93,108.09,4.840000000000003,4.2858407863278165,8.125
2023-S15,API Integration Platform,API & Middleware QA,No,No,No,No,No,No,High,9.0,28.0,12.09,15.97,21.56,,9.9764,8.17,12.24,16.34,21.33,5.44,9.86,14.07,2023,15,0,0,0,0,0,0,0,0.0,,79.28,,,2.8
2023-S15,Customer Web Portal,EIP-QA,No,Yes,Yes,No,No,No,Medium,11.0,42.0,12.23,18.75,24.9737,7.27,13.98,13.92,11.28,20.92,18.12,6.17,14.2,14.6,2023,15,0,1,1,0,0,0,2,0.3333333333333333,91.1237,85.29,5.833699999999993,6.401956900345347,3.5
2023-S15,CRM Sales & Service,CRM Platform QA,No,Yes,No,No,No,No,High,11.0,28.0,14.95,15.8,22.26,6.27,14.5,13.63,14.72,12.0,24.0,6.24,13.13,14.54,2023,15,0,1,0,0,0,0,1,0.16666666666666666,87.41,84.63,2.780000000000001,3.180414140258553,2.3333333333333335
2023-S16,Billing & Payments,Billing & Payments QA,No,No,No,No,No,No,Medium,12.0,59.0,12.57,25.1,37.84,10.2,14.0,14.57,15.28,31.0,39.8,10.0,14.14,15.0,2023,16,0,0,0,0,0,0,0,0.0,114.28,125.22,-10.939999999999998,-9.572978648932445,4.538461538461538
2023-S16,Enterprise Data Platform,Data Platform QA,No,No,No,No,No,No,Medium,9.0,72.0,10.35,30.87,32.9512,11.1,26.0,21.2,10.18,29.42,36.2719,12.06,25.75,24.67,2023,16,0,0,0,0,0,0,0,0.0,132.47119999999998,138.3519,-5.880700000000019,-4.439229055070098,7.2
2023-S16,Customer Web Portal,EIP-QA,No,Yes,Yes,No,No,No,Medium,8.0,62.0,9.0,27.2,27.5,9.32,16.85,12.42,9.25,21.15,22.86,10.77,15.89,12.4,2023,16,0,1,1,0,0,0,2,0.3333333333333333,102.29,92.32000000000001,9.969999999999999,9.746798318506206,6.888888888888889
2023-S16,CRM Sales & Service,CRM Platform QA,No,Yes,No,No,No,No,Medium,5.0,55.0,7.47,25.0,31.81,8.6469,17.84,11.41,6.0,22.4141,37.33,13.88,14.5,13.43,2023,16,0,1,0,0,0,0,1,0.16666666666666666,102.1769,107.5541,-5.377200000000002,-5.2626376411889595,9.166666666666666
